aritstPopularity,artistGenre
71.0,"french shoegaze,indie pop,indietronica,metropopolis,neo-synthpop"
80.0,"electro,filter house"
64.0,"alternative dance,australian indie,indie pop,indietronica,modern rock"
74.0,"irish rock,pop rock,rock"
75.0,"album rock,mellow gold,rock,soft rock,yacht rock"
82.0,"permanent wave,pop punk,punk,rock"
71.0,"alternative rock,art rock,boston rock,garage rock,indie rock,modern rock,new wave,noise pop,permanent wave,rock"
67.0,"dance pop,hip pop,neo soul,pop,r&b,urban contemporary"
84.0,"alternative rock,funk metal,funk rock,permanent wave,post-grunge,rock"
75.0,"dance pop,pop,pop rap,post-teen pop"
79.0,"alternative hip hop,art pop,rock"
80.0,"folk-pop,irish singer-songwriter,pop"
68.0,"alternative dance,australian dance,australian electropop,dance-punk,electropop,indie pop,indietronica,modern rock,neo-synthpop,new rave,pop"
74.0,"alternative dance,garage rock,indie pop,indie rock,indietronica,modern rock,rock"
89.0,pop
72.0,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,post-grunge,rock"
51.0,"alternative metal,deathcore,djent,jazz metal,mathcore,melodic metalcore,progressive metal,progressive post-hardcore,sci-fi metal"
87.0,"dance pop,pop,post-teen pop"
78.0,"arkansas country,outlaw country,traditional country"
2.0,
70.0,"pop,reggae fusion"
80.0,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky"
84.0,"dance pop,neo mellow,piano rock,pop,pop rock"
89.0,"modern rock,rock"
79.0,"indie rock,modern rock,permanent wave,rock"
80.0,"dance pop,pop"
89.0,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
66.0,"indie pop,la indie,modern alternative rock,modern rock,rock,stomp pop"
88.0,"dance pop,pop,post-teen pop"
76.0,"indie pop,modern rock,pop,rock"
79.0,"house,pop,uk dance"
79.0,"alternative rock,art rock,melancholia,modern rock,oxford indie,permanent wave,rock"
5.0,
76.0,"blues rock,garage rock,modern blues rock,modern rock,punk blues,rock"
78.0,"folk-pop,modern rock,neo mellow,stomp and holler,uk americana"
70.0,"alternative rock,britpop,dance rock,garage rock,indie rock,madchester,modern rock,new wave,permanent wave,pop rock,rock"
72.0,"folk-pop,indie folk,indie pop,metropopolis,modern rock,stomp and holler"
73.0,"alternative rock,blues rock,garage rock,indie rock,modern blues rock,modern rock,permanent wave,punk blues,rock"
11.0,karaoke
10.0,
89.0,"chicago rap,hip hop,pop rap,rap"
26.0,
79.0,"britpop,madchester,permanent wave,rock"
85.0,"australian dance,australian pop,dance pop,pop"
81.0,"east coast hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop"
81.0,"glam metal,hard rock,rock"
87.0,"permanent wave,pop"
81.0,"dance pop,pop,pop rap"
74.0,"canadian pop,dance pop,electropop,indie poptimism,pop,post-teen pop"
68.0,"alternative rock,dance-punk,garage rock,indie pop,indie rock,modern rock,new rave,rock,scottish rock"
86.0,"big room,edm,pop"
70.0,"baroque pop,metropopolis,modern rock,pop"
86.0,"dance pop,pop,post-teen pop"
77.0,"indie folk,modern rock,pop"
96.0,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
87.0,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
59.0,"alternative dance,auckland indie,indie pop,indie rock,indietronica,metropopolis,modern rock,shimmer pop"
73.0,"indie pop,indie rock,indietronica,irish rock,modern rock,northern irish indie,rock"
78.0,"chamber pop,eau claire indie,folk-pop,indie folk,melancholia,slow core,stomp and holler"
84.0,"dance pop,latin,miami hip hop,pop,pop rap"
77.0,"art pop,baroque pop,chamber pop,dance pop,folk-pop,pop,uk alternative pop"
77.0,"art pop,dance pop,electropop,metropopolis,nz pop,pop"
81.0,"alternative rock,grunge,permanent wave,post-grunge,rock"
88.0,pop
65.0,"folk-pop,indie folk,indie pop,indie rock,la indie,modern rock,stomp and holler"
80.0,"pop,pop rap"
80.0,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
71.0,"downtempo,dream pop,electropop,indie pop,indietronica,modern rock,pop"
71.0,"downtempo,dream pop,electropop,indie pop,indietronica,modern rock,pop"
77.0,"garage rock,indie rock,modern rock,rock"
8.0,karaoke
74.0,indie rock
80.0,"modern rock,permanent wave,piano rock,post-grunge,rock"
67.0,australian pop
0.0,
84.0,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,tropical house,uk pop"
80.0,"folk-pop,indie folk,modern rock,stomp and holler"
2.0,
25.0,
38.0,karaoke
96.0,"pop,uk pop"
4.0,
90.0,"pop,uk pop"
80.0,"neo mellow,neo soul,pop,r&b,urban contemporary"
83.0,"garage rock,indie rock,modern rock,permanent wave,rock,sheffield indie"
67.0,"art pop,dance pop,escape room,new rave,pop"
79.0,"dance pop,hip pop,pop,post-teen pop"
65.0,"alternative dance,indie pop,indie poptimism,indie rock,indietronica,modern rock,shimmer pop,stomp and holler"
75.0,"alternative rock,permanent wave,pop rock,rock"
67.0,"dance pop,pop,pop rap"
74.0,"german pop,modern rock"
67.0,"alternative dance,dance-punk,indie pop,indie rock,indietronica,modern rock,new rave"
75.0,"australian hip hop,dance pop,hip pop,pop,pop rap,post-teen pop"
84.0,"british soul,pop,uk pop"
20.0,
74.0,"indie folk,neo mellow"
69.0,"album rock,hard rock,rock,soft rock"
63.0,"folk-pop,indie folk,indie pop,indie rock,modern rock,stomp and holler"
78.0,"electropop,modern alternative rock,modern rock,pop"
28.0,
6.0,indie anthem-folk
68.0,tropical house
15.0,karaoke
74.0,"electropop,indie pop,indietronica,metropopolis,modern rock,neo-synthpop,shimmer pop"
79.0,"acoustic pop,neo mellow,pop,pop rock"
76.0,"dance rock,new romantic,new wave,permanent wave,rock"
11.0,
82.0,"metropopolis,modern rock,pop"
92.0,"detroit hip hop,g funk,hip hop,rap"
7.0,
0.0,
79.0,"dance pop,pop,pop rap"
70.0,"candy pop,dance pop,electropop,metropopolis,pop,swedish electropop,swedish synthpop"
72.0,"irish rock,modern rock,neo mellow,permanent wave,pop rock,rock"
80.0,"brostep,complextro,edm,electro,pop"
75.0,"alternative rock,garage rock,indie pop,indie rock,modern rock,permanent wave,rock"
27.0,karaoke
